Date,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total
20200422,1,2,3,0,239,239,8,11,19
20200424,0,1,1,0,266,266,0,14,14
20200425,0,1,1,0,0,0,0,0,0
20200426,1,1,2,0,0,0,0,0,0
20200427,0,1,1,0,0,0,0,0,0
20200428,0,2,2,0,0,0,0,0,0
20200429,1,0,1,0,0,0,11,0,11
20200430,3,1,4,0,0,0,29,0,29
20200501,1,1,2,0,252,252,13,15,28
20200502,0,3,3,0,608,608,0,29,29
20200503,1,1,2,0,1,1,13,4,17
20200504,1,2,3,0,186,186,22,5,27
20200505,0,2,2,0,0,0,0,8,8
