Date,Daily_confirmed,Daily_deaths,Total_confirmed,Flight_departure,Flight_arrivals,Flight_total,Passenger_departure,Passenger_arrivals,Passenger_total,Freight_departure,Freight_arrivals,Freight_total,Ship_year,Ship_count,Ship_crew(korea),Ship_crew(foreign),Ship_passenger,News_Daily_Total,News_Sum,News_Negative,News_Positive,Europe
20200426,27790.0,3056.0,1305874.0,20.0,25.0,45.0,34.0,513.0,547.0,822.0,846.0,1668.0,24240.0,30.0,7.0,256.0,0.0,1249.0,125.0,116.0,9.0,2.0
20200427,24887.0,1610.0,1327939.0,10.0,25.0,35.0,53.0,193.0,246.0,336.0,992.0,1328.0,20200.0,24.0,0.0,211.0,0.0,1467.0,160.0,120.0,40.0,6.0
20200428,22473.0,2451.0,1341710.0,17.0,18.0,35.0,233.0,0.0,233.0,584.0,400.0,984.0,18180.0,54.0,5.0,170.0,1.0,1084.0,174.0,138.0,36.0,2.0
20200429,24291.0,3003.0,1374569.0,20.0,22.0,42.0,135.0,47.0,182.0,610.0,650.0,1260.0,12120.0,31.0,9.0,119.0,0.0,1221.0,179.0,137.0,42.0,0.0
20200430,24473.0,2827.0,1401015.0,17.0,28.0,45.0,166.0,752.0,918.0,654.0,664.0,1318.0,16160.0,29.0,5.0,231.0,0.0,1384.0,189.0,153.0,36.0,1.0
20200501,25986.0,2240.0,1256576.0,19.0,21.0,40.0,143.0,253.0,396.0,625.0,590.0,1215.0,20200.0,22.0,3.0,186.0,0.0,1202.0,205.0,171.0,34.0,1.0
20200502,28998.0,2427.0,1454660.0,14.0,18.0,32.0,68.0,156.0,224.0,640.0,651.0,1291.0,12120.0,44.0,7.0,108.0,0.0,805.0,189.0,128.0,61.0,2.0
20200503,24628.0,1951.0,1459612.0,17.0,20.0,37.0,62.0,222.0,284.0,773.0,817.0,1590.0,10100.0,10.0,2.0,104.0,0.0,890.0,126.0,108.0,18.0,0.0
20200504,23654.0,1128.0,1288137.0,9.0,19.0,28.0,56.0,177.0,233.0,342.0,639.0,981.0,26260.0,46.0,0.0,272.0,0.0,1418.0,233.0,139.0,94.0,1.0
20200505,23120.0,1576.0,1500818.0,13.0,13.0,26.0,0.0,0.0,0.0,514.0,309.0,823.0,12120.0,53.0,6.0,97.0,0.0,881.0,164.0,112.0,52.0,0.0
20200506,25197.0,2177.0,1551828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
